"","X.U.FEFF.combinedID","comparedID","DailyDose.x","Timepoint.x","samplesize_treated","MeanofEffectvalue_treated","Meanofvaribility_treated","DailyDose.y","Timepoint.y","samplesize_control","MeanofEffectvalue_control","Meanofvaribility_control","Bibliography","Year","Species","Endpointname","Endpointunit","Drug","UnitofDose","UnitofVariability","t","SE","Effectsize","UL","LL","Effectpercent"
"2",100.1,"100.1.1",20,"7",5,0.038,0.156524758,0,"7",10,0.038,0.006324555,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,"Rat","Liver weight, relative","%","Rosiglitazone/Avandia","mg/kg","SD",2.160368656,0.171488506,0,0.370478393,-0.370478393,"100.00%"
"3",100.1,"100.1.2",8,"7",5,0.037,0.002236068,0,"7",10,0.038,0.006324555,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,"Rat","Liver weight, relative","%","Rosiglitazone/Avandia","mg/kg","SD",2.160368656,0.003782551,-0.001,0.007171705,-0.009171705,"97.37%"
"4",101.1,"101.1.1",20,"7",5,12.5,5.590169944,0,"7",10,12.5,7.90569415,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,"Rat","Liver weight, absolute","g","Rosiglitazone/Avandia","mg/kg","SD",2.160368656,7.104982001,0,15.34938042,-15.34938042,"100.00%"
"5",101.1,"101.1.2",8,"7",5,12,2.236067977,0,"7",10,12.5,7.90569415,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,"Rat","Liver weight, absolute","g","Rosiglitazone/Avandia","mg/kg","SD",2.160368656,4.356692465,-0.5,8.912061846,-9.912061846,"96.00%"
"22",112.1,"112.1.1",200,"4 weeks",10,9.32,1.043551628,0,"4 weeks",10,9.29,0.980306075,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,"Rat","Liver weight, absolute","mg","Troglitazone/Rezulin","mg/kg","SD",2.10092204,1.433980474,0.03,3.042681183,-2.982681183,"100.32%"
"23",112.1,"112.1.2",50,"4 weeks",10,9.15,0.695701085,0,"4 weeks",10,9.29,0.980306075,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,"Rat","Liver weight, absolute","mg","Troglitazone/Rezulin","mg/kg","SD",2.10092204,0.983514108,-0.14,1.926286466,-2.206286466,"98.49%"
"24",113.1,"113.1.1",200,"4 weeks",10,35.35,1.612761607,0,"4 weeks",10,36.89,2.624690458,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,"Rat","Liver weight, relative","mg/g bodyweight","Troglitazone/Rezulin","mg/kg","SD",2.10092204,2.317477076,-1.54,3.328838668,-6.408838668,"95.83%"
"25",113.1,"113.1.2",50,"4 weeks",10,36.01,2.276839915,0,"4 weeks",10,36.89,2.624690458,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,"Rat","Liver weight, relative","mg/g bodyweight","Troglitazone/Rezulin","mg/kg","SD",2.10092204,3.165454154,-0.88,5.770372399,-7.530372399,"97.61%"
"28",115.1,"115.1.1",100,"3 weeks",5,10.6,1,0,"3 weeks",5,11,1.5,"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",2002,"Rat","ALT","IU/L","Troglitazone/Rezulin","mg/kg","SD",2.306004135,1.431782106,-0.4,2.901695458,-3.701695458,"96.36%"
"29",115.1,"115.1.2",500,"3 weeks",5,11.8,1.9,0,"3 weeks",5,11,1.5,"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",2002,"Rat","ALT","IU/L","Troglitazone/Rezulin","mg/kg","SD",2.306004135,2.495195383,0.8,6.553930872,-4.953930872,"107.27%"
