"","X.U.FEFF.combinedID","comparedID","DailyDose.x","Timepoint.x","samplesize_treated","MeanofEffectvalue_treated","Meanofvaribility_treated","DailyDose.y","Timepoint.y","samplesize_control","MeanofEffectvalue_control","Meanofvaribility_control","Bibliography","Year","Species","Endpointname","Endpointunit","Drug","UnitofDose","UnitofVariability","t","SE","Effectsize","UL","LL","Effectpercent"
"1",1.1,"1.1.1",4,"Week 12",12,28.8,16.86,4,"Baseline",12,29.42,24.05,"Aramwit, P.,Bunmee, P.,Supasyndh, O..  Effectiveness and tolerability of rosiglitazone on insulin resistance and body composition in nondiabetic Thai patients undergoing continuous ambulatory peritoneal dialysis: A 12-week pilot study. Current Therapeutic Research - Clinical and Experimental.  2009. 70:377-389",2009,"Human","AST","IU/L","Rosiglitazone/Avandia","mg","SD",2.073873068,23.86090544,-0.62,48.86448916,-50.10448916,"97.89%"
"6",108.1,"108.1.1",200,"44 weeks (LETO)",8,14.3,0.848528137,200,"Baseline",8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,"Rat","Liver weight, absolute","g/rat","Troglitazone/Rezulin","mg/100g","SD",2.144786688,1.35,-5.15,-2.254537971,-8.045462029,"73.52%"
"7",108.1,"108.1.2",200,"44 weeks (OLETF)",8,19.6,1.414213562,200,"Baseline",8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,"Rat","Liver weight, absolute","g/rat","Troglitazone/Rezulin","mg/100g","SD",2.144786688,2.015564437,0.15,4.472955773,-4.172955773,"100.77%"
"8",108.1,"108.1.3",200,"60 weeks (LETO)",8,13.1,1.697056275,200,"Baseline",8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,"Rat","Liver weight, absolute","g/rat","Troglitazone/Rezulin","mg/100g","SD",2.144786688,2.366960076,-6.35,-1.273375539,-11.42662446,"67.35%"
"9",108.1,"108.1.4",200,"60 weeks (OLETF)",8,19.5,1.697056275,200,"Baseline",8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,"Rat","Liver weight, absolute","g/rat","Troglitazone/Rezulin","mg/100g","SD",2.144786688,2.366960076,0.05,5.126624461,-5.026624461,"100.26%"
"10",109.1,"109.1.1",200,"44 weeks (LETO)",8,25.9,0.565685425,200,"Baseline",8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,"Rat","Liver weight, relative","mg/g bodyweight","Troglitazone/Rezulin","mg/100g","SD",2.144786688,1.5,-5.2,-1.982819968,-8.417180032,"83.28%"
"11",109.1,"109.1.2",200,"44 weeks (OLETF)",8,27.6,1.414213562,200,"Baseline",8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,"Rat","Liver weight, relative","mg/g bodyweight","Troglitazone/Rezulin","mg/100g","SD",2.144786688,2.27815715,-3.5,1.386161128,-8.386161128,"88.75%"
"12",109.1,"109.1.3",200,"60 weeks (LETO)",8,24.8,1.979898987,200,"Baseline",8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,"Rat","Liver weight, relative","mg/g bodyweight","Troglitazone/Rezulin","mg/100g","SD",2.144786688,2.924038303,-6.3,-0.028561572,-12.57143843,"79.74%"
"13",109.1,"109.1.4",200,"60 weeks (OLEFT)",8,27.7,1.13137085,200,"Baseline",8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,"Rat","Liver weight, relative","mg/g bodyweight","Troglitazone/Rezulin","mg/100g","SD",2.144786688,1.98242276,-3.4,0.851873946,-7.651873946,"89.07%"
"14",110.1,"110.1.1",200,"44 weeks (LETO)",8,76.4,7.353910524,200,"Baseline",8,83.35,14.8492424,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,"Rat","AST","IUA","Troglitazone/Rezulin","mg/100g","SD",2.144786688,11.05452396,-6.95,16.75959583,-30.65959583,"91.66%"
